CENSO_MODALIDAD;ESTRATO_RIM
ARRASTRE DE FONDO EN EL GOLFO DE CADIZ;BACA_GC
ARRASTRE DE FONDO EN CANTABRICO NW;BACA_CN
ARRASTRE DE FONDO EN CANTABRICO NW;PAREJA_CN
ARRASTRE DE FONDO EN CANTABRICO NW;JURELERA_CN
ARRASTRE DE FONDO EN EL MEDITERRANEO;
ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.;BACA_AC
ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.;JURELERA_AC
ARRASTRE DE FONDO EN ZONAS CIEM VB, VI,VII y VIIIabde.;MERLUCER_AC
ARRASTRE EN AGUAS DE PORTUGAL;BACA_APN
ARRASTREROS CONGELADORES AGUAS INTERNACIONALES Y TERCEROS PAISES;
ARRASTREROS CONGELADORES DE NAFO;
ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;PALANGRE_AC
ARTES FIJAS EN ZONAS CIEM VB, VI,VII y VIIIabde.;ENMALLE_AC
ARTES MENORES EN EL GOLFO DE CADIZ;ENMALLE_GC
ARTES MENORES EN EL GOLFO DE CADIZ;PALANGRE_GC
ARTES MENORES EN EL GOLFO DE CADIZ;TRASMALL_GC
ARTES MENORES EN EL GOLFO DE CADIZ;VORACERA_GC
ARTES MENORES EN EL GOLFO DE CADIZ;SABLE_GC
ARTES MENORES EN CANARIAS;
ARTES MENORES EN CANTABRICO NW;BETA_CN
ARTES MENORES EN CANTABRICO NW;TRASMALL_CN
ARTES MENORES EN CANTABRICO NW;PALANGRE_CN
ARTES MENORES EN CANTABRICO NW;NASAPULP_CN
ARTES MENORES EN CANTABRICO NW;LIN_CABALLA
ARTES MENORES EN CANTABRICO NW;LIN_CALAMAR
ARTES MENORES EN CANTABRICO NW;LIN_MERLUZA
ARTES MENORES EN CANTABRICO NW;NASA_NECORA
ARTES MENORES EN CANTABRICO NW;NASA_PECES
ARTES MENORES EN EL MEDITERRANEO;
ATUNEROS CAÑEROS CANARIAS;
ATUNEROS CERQUEROS CONGELADORES EN OCEANO ATLANTICO, INDICO Y PACIFICO;
ATUNEROS CERQUEROS CONGELADORES EN OCEANO INDICO Y PACIFICO;
BACALADEROS;
CENSO UNIFICADO DE PALANGRE DE SUPERFICIE;
CERCO EN CANARIAS;
CERCO ATUN ROJO EN EL MEDITERRANEO;
CERCO EN CANTABRICO NW;CERCO_CN
CERCO EN EL GOLFO DE CADIZ;CERCO_GC
CERCO EN EL MEDITERRANEO;
PALANGRE DE FONDO AGUAS INTERNACIONALES Y TERCEROS PAISES;
PALANGRE DE FONDO EN CANTABRICO NW;PALANGRE_CN
PALANGRE DE FONDO EN EL MEDITERRANEO;
PALANGRE DE FONDO MENORES 100 TRB EN VIIIabde.;PALANGRE_AC
RASCO EN CANTABRICO NW;RASCO_CN
SIN CENSO ASIGNADO;
VOLANTA EN CANTABRICO NW;VOLANTA_CN
