check code;updated function name
1016;detect_false_mt1
1017;detect_false_mt2
1018;validate_mt2b_rim_stratum
1019;coherence_rim_stratum_gear
1020;coherence_rim_stratum_origin
1021;number_of_ships
1022;ships_pair_bottom_trawl
1023;number_of_rejections
1024;foreign_ships_mt2
1025;ships_not_in_cfpo
1026;ships_not_registered
1027;mixed_species_in_category
1028;not_allowed_sampled_species
1029;doubtful_sampled_species
1030;not_allowed_category_species
1031;doubtful_category_species
1032;multiple_port
1033;no_mixed_as_mixed
1034;sexes_with_same_sampled_weight
1035;categories_with_repeated_sexes
1036;all_categories_with_same_sampled_weights
1037;weight_sampled_zero_with_lengths_sampled
1038;weight_landed_zero
1039;weight_sampled_without_lengths_sampled
1040;pes_mue_desem_zero
1041;species_with_categories_with_same_weight_landing
1042;sop_zero
1043;sop_greater_pes_mue_vivo
1044;sop_greater_pes_vivo
1045;pes_mue_desem_greater_pes_desem
1046;validate_length_weight_variable
1047;sexed_species
1048;no_sexed_species
1049;multiple_rim_stratum
1050;multiple_gear
1051;port_mismatch_for_same_trip
1052;lengths_outside_size_range
1053;coherence_strategy_sample_type
1054;multiple_type_sample
1055;elapsed_days_exceeded
1056;variable_not_filled
1057;check_catches_p99
1058;taxonomic_specie_confusion
1059;same_trip_in_various_ports
1060;validate_cod_id
1061;multiple_ship_code
1062;coherence_dcf_metier_rim_stratum_origin
1063;coherence_dcf_fishing_ground_rim_stratum_origin
1064;all_categories_measured
1065;species_without_historical_range
1069;coherence_rim_mt2_prescriptions_post
1070;variable_with_rim_mt2_prescriptions_post
1071;empty_fields_in_variables
1076;incorrect_half_cm_measures
1077;g1_species_not_measured
1078;g2_species_not_measured
1079;ship_not_in_master_fishing_gear (PENDIENTE DE IMPLEMENTAR)
1080;ship_different_fishing_gear (NOT IMPLEMENTED)
1081;ship_without_cod_sgpm
1082;categories_99_not_in_mt2b
1084;incorrect_cm_measures
1085;trip_is_checked
1087;more_than_two_ships
1088;new_species_sampled
1089;foreign_ships_mt1
1090;mixed_as_no_mixed
1091;sampling_is_checked
1092;variable_not_in_master
1093;coherence_fishing_modality_rim_stratum
