"COD_ESP_MUE";"ESP_MUE";"COD_ESP_CAT";"ESP_CAT"
"10273";"Trisopterus spp";"10276";"Trisopterus luscus"
"10283";"Merluccius merluccius";"10283";"Merluccius merluccius"
"10489";"Pagellus acarne";"10489";"Pagellus acarne"
"10507";"Spondyliosoma cantharus";"10507";"Spondyliosoma cantharus"
"10660";"Thunnus alalunga";"10660";"Thunnus alalunga"
"10413";"Trachurus spp";"10414";"Trachurus trachurus"
"30188";"Octopus vulgaris";"30188";"Octopus vulgaris"
"10277";"Micromesistius poutassou";"10277";"Micromesistius poutassou"
"30171";"Ommastrephidae";"30170";"Todaropsis eblanae"
"10540";"Mullus spp";"10541";"Mullus surmuletus"
"30171";"Ommastrephidae";"30177";"Illex coindetii"
"10270";"Pollachius pollachius";"10270";"Pollachius pollachius"
"10726";"Triglidae";"11173";"Chelidonichthys cuculus"
"10798";"Lepidorhombus spp";"10800";"Lepidorhombus boscii"
"10821";"Lophius spp";"10823";"Lophius budegassa"
"11168";"Solea solea";"11168";"Solea solea"
"10260";"Molva macrophthalma";"10260";"Molva macrophthalma"
"10262";"Phycis blennoides";"10262";"Phycis blennoides"
"10313";"Beryx spp";"10314";"Beryx decadactylus"
"10487";"Pagellus bogaraveo";"10487";"Pagellus bogaraveo"
"10821";"Lophius spp";"10822";"Lophius piscatorius"
"10152";"Sardina pilchardus";"10152";"Sardina pilchardus"
"10641";"Scomber colias";"10641";"Scomber colias"
"30156";"Sepia spp";"30159";"Sepia officinalis"
"10220";"Conger conger";"10220";"Conger conger"
"10090";"Raja clavata";"10090";"Raja clavata"
"10173";"Argentina sphyraena";"10173";"Argentina sphyraena"
"10389";"Polyprion americanus";"10389";"Polyprion americanus"
"10642";"Scomber scombrus";"10642";"Scomber scombrus"
"10723";"Helicolenus dactylopterus";"10723";"Helicolenus dactylopterus"
"10726";"Triglidae";"10729";"Trigla lyra"
"10726";"Triglidae";"10731";"Chelidonichthys lucerna"
"10726";"Triglidae";"10737";"Eutrigla gurnardus"
"10726";"Triglidae";"10739";"Chelidonichthys obscurus"
"10798";"Lepidorhombus spp";"10799";"Lepidorhombus whiffiagonis"
"30191";"Eledone spp";"30189";"Eledone cirrhosa"
"10723";"Helicolenus dactylopterus";"10260";"Molva macrophthalma"
"10273";"Trisopterus spp";"10275";"Trisopterus minutus"
"10398";"Dicentrarchus labrax";"10398";"Dicentrarchus labrax"
"10413";"Trachurus spp";"10416";"Trachurus mediterraneus"
"10047";"Galeorhinus galeus";"10047";"Galeorhinus galeus"
"10455";"Plectorhinchus mediterraneus";"10455";"Plectorhinchus mediterraneus"
"10488";"Pagellus erythrinus";"10488";"Pagellus erythrinus"
"10498";"Dentex spp";"10501";"Dentex canariensis"
"10788";"Microchirus spp";"13390";"Microchirus azevia"
"10019";"Galeus melastomus";"10019";"Galeus melastomus"
"10022";"Scyliorhinus canicula";"10022";"Scyliorhinus canicula"
"10080";"Dipturus oxyrinchus";"10080";"Dipturus oxyrinchus"
"10085";"Raja miraletus";"10085";"Raja miraletus"
"10091";"Raja montagui";"10091";"Raja montagui"
"10092";"Leucoraja naevus";"10092";"Leucoraja naevus"
"10097";"Leucoraja circularis";"10097";"Leucoraja circularis"
"10263";"Phycis phycis";"10263";"Phycis phycis"
"10320";"Zeus faber";"10320";"Zeus faber"
"10635";"Aphanopus carbo";"10635";"Aphanopus carbo"
"10788";"Microchirus spp";"10792";"Microchirus variegatus"
"10801";"Scophthalmus rhombus";"10801";"Scophthalmus rhombus"
"10802";"Scophthalmus maximus";"10802";"Scophthalmus maximus"
"10804";"Citharus linguatula";"10804";"Citharus linguatula"
"30166";"Loligo spp";"30167";"Loligo vulgaris"
"10522";"Boops boops";"10522";"Boops boops"
"30166";"Loligo spp";"30169";"Loligo forbesii"
"10492";"Diplodus spp";"10492";"Diplodus spp"
"10258";"Molva molva";"10258";"Molva molva"
"10768";"Microstomus kitt";"10768";"Microstomus kitt"
"30156";"Sepia spp";"30161";"Rhombosepion orbignyanum"
"10769";"Platichthys flesus";"10769";"Platichthys flesus"
"10335";"Mugil cephalus";"10335";"Mugil cephalus"
"10498";"Dentex spp";"10502";"Dentex dentex"
"10512";"Pagrus pagrus";"10512";"Pagrus pagrus"
"10519";"Sparus aurata";"10519";"Sparus aurata"
"10520";"Pagrus auriga";"10520";"Pagrus auriga"
"10526";"Lithognathus mormyrus";"10526";"Lithognathus mormyrus"
"10637";"Scorpaenoidei";"10716";"Scorpaena porcus"
"10639";"Sarda sarda";"10639";"Sarda sarda"
"10826";"Cepola macrophthalma";"10826";"Cepola macrophthalma"
"10342";"Atherina presbyter";"10342";"Atherina presbyter"
"10113";"Torpedo marmorata";"10113";"Torpedo marmorata"
"10321";"Zenopsis conchifer";"10321";"Zenopsis conchifer"
"20066";"Parapenaeus longirostris";"20066";"Parapenaeus longirostris"
"20194";"Nephrops norvegicus";"20194";"Nephrops norvegicus"
"30189";"Eledone cirrhosa";"30189";"Eledone cirrhosa"
"30190";"Eledone moschata";"30190";"Eledone moschata"
"10391";"Serranus cabrilla";"10391";"Serranus cabrilla"
"10764";"Glyptocephalus cynoglossus";"10764";"Glyptocephalus cynoglossus"
"10492";"Diplodus spp";"10494";"Diplodus sargus"
"10559";"Labrus bergylta";"10559";"Labrus bergylta"
"10637";"Scorpaenoidei";"10717";"Scorpaena scrofa"
"10806";"Balistes capriscus";"10806";"Balistes capriscus"
"10267";"Gaidropsarus vulgaris";"10267";"Gaidropsarus vulgaris"
"10556";"Labrus mixtus";"10556";"Labrus mixtus"
"10397";"Dicentrarchus punctatus";"10397";"Dicentrarchus punctatus"
"10474";"Argyrosomus regius";"10474";"Argyrosomus regius"
"10783";"Dicologlossa cuneata";"10783";"Dicologlossa cuneata"
"10094";"Raja brachyura";"10094";"Raja brachyura"
"10276";"Trisopterus luscus";"10276";"Trisopterus luscus"
"11167";"Pegusa lascaris";"11167";"Pegusa lascaris"
"10454";"Parapristipoma octolineatum";"10454";"Parapristipoma octolineatum"
"10471";"Umbrina canariensis";"10471";"Umbrina canariensis"
"10492";"Diplodus spp";"10496";"Diplodus cervinus"
"10540";"Mullus spp";"10542";"Mullus barbatus"
"10472";"Umbrina ronchus";"10472";"Umbrina ronchus"
"10776";"Solea senegalensis";"10776";"Solea senegalensis"
"10717";"Scorpaena scrofa";"10717";"Scorpaena scrofa"
"10780";"Synapturichthys kleinii";"10780";"Synapturichthys kleinii"
"10492";"Diplodus spp";"10495";"Diplodus vulgaris"
"10314";"Beryx decadactylus";"10314";"Beryx decadactylus"
"10315";"Beryx splendens";"10315";"Beryx splendens"
"10792";"Microchirus variegatus";"10792";"Microchirus variegatus"
"10726";"Triglidae";"10725";"Chelidonichthys lastoviza"
"10673";"Xiphias gladius";"10673";"Xiphias gladius"
"10156";"Engraulis encrasicolus";"10156";"Engraulis encrasicolus"
"10498";"Dentex spp";"10499";"Dentex gibbosus"
"10407";"Pomatomus saltatrix";"10407";"Pomatomus saltatrix"
"30171";"Ommastrephidae";"30181";"Todarodes sagittatus"
"10762";"Pleuronectes platessa";"10762";"Pleuronectes platessa"
"10225";"Belone belone";"10225";"Belone belone"
"30159";"Sepia officinalis";"30159";"Sepia officinalis"
"30167";"Loligo vulgaris";"30167";"Loligo vulgaris"
"10313";"Beryx spp";"10315";"Beryx splendens"
"10265";"Melanogrammus aeglefinus";"10265";"Melanogrammus aeglefinus"
"10138";"Alosa fallax";"10138";"Alosa fallax"
"10499";"Dentex gibbosus";"10499";"Dentex gibbosus"
"10501";"Dentex canariensis";"10501";"Dentex canariensis"
"10675";"Stromateus fiatola";"10675";"Stromateus fiatola"
"10095";"Raja undulata";"10095";"Raja undulata"
"10532";"Sarpa salpa";"10532";"Sarpa salpa"
"10255";"Gadus morhua";"10255";"Gadus morhua"
"11693";"Cynoscion regalis";"11693";"Cynoscion regalis"
"10096";"Raja asterias";"10096";"Raja asterias"
"10495";"Diplodus vulgaris";"10495";"Diplodus vulgaris"
"10042";"Mustelus spp";"10044";"Mustelus mustelus"
"10492";"Diplodus spp";"10497";"Diplodus puntazzo"
"10617";"Callionymus lyra";"10617";"Callionymus lyra"
"10579";"Trachinus draco";"10579";"Trachinus draco"
"10469";"Umbrina cirrosa";"10469";"Umbrina cirrosa"
"10044";"Mustelus mustelus";"10044";"Mustelus mustelus"
"10557";"Coris julis";"10557";"Coris julis"
"10637";"Scorpaenoidei";"13356";"Trachyscorpia cristulata"
"10497";"Diplodus puntazzo";"10497";"Diplodus puntazzo"
"10989";"Sphoeroides pachygaster";"10989";"Sphoeroides pachygaster"
"10864";"Rajidae";"10090";"Raja clavata"
"10864";"Rajidae";"10091";"Raja montagui"
"20152";"Cancer pagurus";"20152";"Cancer pagurus"
"10273";"Trisopterus spp";"10273";"Trisopterus spp"
"10423";"Caranx rhonchus";"10423";"Caranx rhonchus"
"20145";"Palinurus elephas";"20145";"Palinurus elephas"
"10331";"Chelon labrosus";"10331";"Chelon labrosus"
"10490";"Pagellus bellottii";"10490";"Pagellus bellottii"
"10502";"Dentex dentex";"10502";"Dentex dentex"
"30160";"Rhombosepion elegans";"30160";"Rhombosepion elegans"
"10045";"Mustelus asterias";"10045";"Mustelus asterias"
"10634";"Lepidopus caudatus";"10634";"Lepidopus caudatus"
"10494";"Diplodus sargus";"10494";"Diplodus sargus"
"20013";"Squilla mantis";"20013";"Squilla mantis"
"10248";"Mora moro";"10248";"Mora moro"
"10633";"Trichiurus lepturus";"10633";"Trichiurus lepturus"
"10569";"Symphodus melops";"10569";"Symphodus melops"
"10317";"Hoplostethus atlanticus";"10317";"Hoplostethus atlanticus"
"10318";"Hoplostethus mediterraneus";"10318";"Hoplostethus mediterraneus"
"10050";"Deania calceus";"10050";"Deania calceus"
"13356";"Trachyscorpia cristulata";"13356";"Trachyscorpia cristulata"
"10021";"Scyliorhinus stellaris";"10021";"Scyliorhinus stellaris"
"10426";"Trachinotus ovatus";"10426";"Trachinotus ovatus"
"10827";"Cyttopsis rosea";"10827";"Cyttopsis rosea"
"20190";"Maja squinado";"20190";"Maja squinado"
"10107";"Aetomylaeus bovinus";"10107";"Aetomylaeus bovinus"
"10441";"Brama brama";"10441";"Brama brama"
"10716";"Scorpaena porcus";"10716";"Scorpaena porcus"
"10172";"Argentina silus";"10172";"Argentina silus"
"10720";"Scorpaena notata";"10720";"Scorpaena notata"
"10654";"Auxis rochei rochei";"10654";"Auxis rochei rochei"
"30169";"Loligo forbesii";"30169";"Loligo forbesii"
"10141";"Sardinella aurita";"10141";"Sardinella aurita"
"10500";"Dentex macrophthalmus";"10500";"Dentex macrophthalmus"
"10537";"Spicara maena";"10537";"Spicara maena"
"20059";"Penaeus kerathurus";"20059";"Penaeus kerathurus"
"10583";"Uranoscopus scaber";"10583";"Uranoscopus scaber"
"10413";"Trachurus spp";"10415";"Trachurus picturatus"
"10275";"Trisopterus minutus";"10275";"Trisopterus minutus"
"10088";"Leucoraja fullonica";"10088";"Leucoraja fullonica"
"30161";"Rhombosepion orbignyanum";"30161";"Rhombosepion orbignyanum"
"30181";"Todarodes sagittatus";"30181";"Todarodes sagittatus"
"10463";"Sciaena umbra";"10463";"Sciaena umbra"
"11165";"Auxis spp";"10654";"Auxis rochei rochei"
"30156";"Sepia spp";"30160";"Rhombosepion elegans"
"10232";"Scomberesox saurus";"10232";"Scomberesox saurus"
"10864";"Rajidae";"10092";"Leucoraja naevus"
"30165";"Alloteuthis spp";"30162";"Alloteuthis media"
"10508";"Oblada melanura";"10508";"Oblada melanura"
"13390";"Microchirus azevia";"13390";"Microchirus azevia"
"10087";"Dipturus batis";"10087";"Dipturus batis"
"10313";"Beryx spp";"10313";"Beryx spp"
