COD_ID;COD_PUERTO;PUERTO;LOCODE;FECHA_MUE;COD_BARCO;BARCO;ESTRATO_RIM;COD_TIPO_MUE;TIPO_MUE;COD_ESP_MUE;ESP_MUE;COD_CATEGORIA;CATEGORIA;COD_ESP_CAT;ESP_CAT;SEXO;TIPO_ERROR
201803649;0921;Marín;ESMPG;16-04-18;203697;NUEVO SAN CIBRAN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803671;1418;Avilés;ESAVS;22-06-18;200817;HERMANOS SAN SALVADOR;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;1499;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803562;9998;Castletown Bere;IECTB;28-06-18;201956;CACHACHO;RAPANTER_AC;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;9999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803624;0921;Marín;ESMPG;23-01-18;207349;RIA DE MARIN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803611;0921;Marín;ESMPG;30-10-18;207349;RIA DE MARIN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803670;1418;Avilés;ESAVS;20-06-18;200817;HERMANOS SAN SALVADOR;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;1499;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803770;0921;Marín;ESMPG;01-11-18;207349;RIA DE MARIN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803559;0922;Vigo;ESVGO;25-02-18;203962;CANTABRICO TRES;RAPANTER_AC;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803650;0921;Marín;ESMPG;18-04-18;203697;NUEVO SAN CIBRAN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803599;0921;Marín;ESMPG;26-09-18;203697;NUEVO SAN CIBRAN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803598;0921;Marín;ESMPG;25-09-18;203697;NUEVO SAN CIBRAN;BACA_CN;4;MT2B (Biometrico a bordo);10019;Galeus melastomus;0999;Sin Categoría;10019;Galeus melastomus;U;ERROR: especie que deberÃ­a ser sexada
201803683;0921;Marín;ESMPG;03-08-18;200597;LOREMAR;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803569;0922;Vigo;ESVGO;25-11-18;200857;PESCABERBES TRES;RAPANTER_AC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803678;0921;Marín;ESMPG;09-07-18;201439;NUEVO BITACORA;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803640;1418;Avilés;ESAVS;27-03-18;201633;ALBA MAR;JURELERA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;1499;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803684;0925;Burela;ESBRL;07-08-18;200862;MENDAÑA;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803561;9998;Castletown Bere;IECTB;04-05-18;202821;PUENTEAREAS UNO;RAPANTER_AC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;9999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803712;0116;Sanlúcar de Barrameda;ESSBA;27-03-18;203938;JUAN Y DOLORES;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803687;0926;Cillero;ESCIO;07-08-18;202726;PINO LADRA;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803614;0921;Marín;ESMPG;29-11-18;200597;LOREMAR;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803704;0109;Ayamonte;ESAYA;14-02-18;202971;GRAN SEBASTIAN;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803697;0110;Isla Cristina;ESZGA;11-01-18;201040;HERMANOS ALONSO MORENO;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803615;0921;Marín;ESMPG;30-11-18;200597;LOREMAR;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803658;0910;Lage;ESLAX;09-05-18;204350;MONTECRISTO DOUS;VOLANTA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803613;0912;Muxía;ESMGA;30-11-18;202517;PESCASAR;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803643;0925;Burela;ESBRL;03-04-18;202613;PIFE;JURELERA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803601;0904;Cedeira;ESCED;04-10-18;202728;EL CAÑAVERA;VOLANTA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803602;0904;Cedeira;ESCED;05-10-18;202728;EL CAÑAVERA;VOLANTA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803617;0925;Burela;ESBRL;06-12-18;202613;PIFE;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803690;0912;Muxía;ESMGA;05-09-18;015705;COSTA DA BARCA;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803648;1418;Avilés;ESAVS;12-04-18;208086;ELEUTERIO JOSE BALAYO;JURELERA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;1499;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803688;0922;Vigo;ESVGO;14-08-18;202517;PESCASAR;JURELERA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803689;0922;Vigo;ESVGO;15-08-18;202517;PESCASAR;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803699;0109;Ayamonte;ESAYA;23-01-18;201526;NUEVO MARIA RUIBAL;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803730;0142;Punta del Moral;ESPTM;25-06-18;203226;EL POPI;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803771;0925;Burela;ESBRL;23-08-18;202613;PIFE;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803675;0914;Muros;ESMRS;26-06-18;200589;MEIRA DA COSTA;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803739;0116;Sanlúcar de Barrameda;ESSBA;17-08-18;201291;JOSE Y AMPARO;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803747;0109;Ayamonte;ESAYA;09-11-18;201058;NUEVO AMANECER UNO;BACA_GC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0199;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803669;0907;A Coruña;ESLCG;13-06-18;200785;ANA ISABEL;JURELERA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803679;0921;Marín;ESMPG;11-07-18;201439;NUEVO BITACORA;BACA_CN;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;0999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
201803568;9998;Castletown Bere;IECTB;11-11-18;200857;PESCABERBES TRES;RAPANTER_AC;4;MT2B (Biometrico a bordo);10022;Scyliorhinus canicula;9999;Sin Categoría;10022;Scyliorhinus canicula;U;ERROR: especie que deberÃ­a ser sexada
